ChildDate	ChildRegion	ParentRegion	ParentDate
2021.91503649823	Cusco	La Libertad	2021.90753649823
2021.78901649823	Cusco	La Libertad	2021.78901649813
2021.79997649813	Apurimac	La Libertad	2021.79246649813
2021.79997649823	Cusco	Ancash	2021.79997649813
2021.79997649823	Cusco	Ancash	2021.79997649813
2021.79175649813	Cusco	Ancash	2021.78412649813
2021.88215649813	Lima	Ancash	2021.82145649813
2021.82188649823	Cusco	La Libertad	2021.82188649813
2021.85750649813	Cusco	La Libertad	2021.84060649813
2021.84106649823	Cusco	La Libertad	2021.84106649813
2021.90407649813	Cusco	La Libertad	2021.88835649813
2021.89586649823	Lima	La Libertad	2021.89586649813
2021.97531649813	Lima	La Libertad	2021.89586649813
2021.90408649833	Tacna	Lima	2021.83559649833
2021.81367649833	Tacna	Lima	2021.81367649823
2021.87121649823	Tacna	Lima	2021.86299649823
2021.93148649823	Tacna	Lima	2021.86299649823
2021.85203649833	Tacna	Arequipa	2021.85203649823
2021.87395649823	Tacna	Ucayali	2021.86255649823
2021.86299649833	Tacna	Lima	2021.86299649823
2021.90135649823	Tacna	Lima	2021.87669649823
2021.87669649833	Tacna	Lima	2021.87669649823
2021.65477649823	San Martin	Lima	2021.63942649823
2021.65477649823	Callao	Lima	2021.63942649823
2021.76436649823	Piura	Lima	2021.66699649823
2021.87942649833	Pasco	Arequipa	2021.77379649833
2021.92599649833	Huancavelica	Arequipa	2021.77379649833
2021.75065649853	Ancash	Lima	2021.75065649843
2021.75339649843	Ancash	Lima	2021.75339649833
2021.76983649833	Ancash	Lima	2021.75339649833
2021.75887649853	Ancash	Callao	2021.75887649843
2021.76161649853	Ancash	Callao	2021.76161649843
2021.80271649853	Ancash	Callao	2021.80271649843
2021.89312649843	Ancash	Callao	2021.87571649843
2021.94244649843	Ancash	Callao	2021.87571649843
2021.84655649853	Ancash	Callao	2021.84655649843
2021.94244649843	Ancash	Lima	2021.85203649843
2021.85203649853	Ancash	Lima	2021.85203649843
2021.87943649833	Ica	Lima	2021.69861649833
2021.69861649843	Ica	Lima	2021.69861649833
2021.92052649833	Callao	Lima	2021.74348649833
2021.74792649843	Callao	Lima	2021.74792649833
2021.74792649843	Callao	Lima	2021.74792649833
2021.74792649843	Ica	Lima	2021.73055649843
2021.76984649853	Ica	Lima	2021.76984649843
2021.80546649843	Ica	Piura	2021.75432649843
2021.76984649843	Ica	Piura	2021.76532649843
2021.80820649843	Ica	Cusco	2021.78567649843
2021.80546649843	Junin	Cusco	2021.78800649843
2021.81368649853	Ica	Cusco	2021.80613649853
2021.89586649853	Junin	Cusco	2021.88578649853
2021.94792649853	Lima	Cusco	2021.94181649853
2021.94792649853	Lima	Cusco	2021.94181649853
2021.79450649863	Ica	Cusco	2021.79450649853
2021.87669649853	Huancavelica	Cusco	2021.83443649853
2021.83834649853	Ica	Cusco	2021.83443649853
2021.96711649853	Lima	Cusco	2021.92327649853
2021.92327649863	Ica	Cusco	2021.92327649853
2021.73148649853	Lima	Cusco	2021.73148649843
2021.73970649853	Ica	Cusco	2021.73970649843
2021.76435649843	Ica	Cusco	2021.75683649843
2021.79449649843	Ica	Cusco	2021.77948649843
2021.80271649843	Callao	Cusco	2021.79880649843
2021.85750649843	Ica	Cusco	2021.85071649843
2021.93969649843	Lima	Cusco	2021.85420649843
2021.87942649843	Ica	Cusco	2021.85420649843
2021.86298649843	Ica	Cusco	2021.85147649843
2021.86298649853	Ica	Lima	2021.86298649843
2021.86298649853	Ica	Lima	2021.86298649843
2021.84928649843	Ica	Lima	2021.82900649843
2021.96161649843	Callao	Lima	2021.93909649843
2021.70408649823	Piura	Lima	2021.64354649823
2021.72326649833	La Libertad	Lima	2021.72326649823
2021.72326649833	La Libertad	Lima	2021.72326649823
2021.87121649823	Lima	Tacna	2021.85973649823
2022.02463649823	Puno	Tacna	2021.85973649823
2021.59723649843	Lima	Tacna	2021.59723649833
2021.60271649833	Lima	Tacna	2021.59723649833
2021.73422649823	Cajamarca	Lima	2021.60271649823
2021.60544649833	Lima	Tacna	2021.59794649833
2021.61640649843	Cajamarca	Tacna	2021.61640649833
2021.64105649843	Cajamarca	Lima	2021.64105649833
2021.66297649843	Cajamarca	Lima	2021.66297649833
2021.66571649843	Cajamarca	Lima	2021.66571649833
2021.66845649843	Cajamarca	Lima	2021.66845649833
2021.68489649843	Cajamarca	Ancash	2021.68489649833
2021.77804649843	Cajamarca	Ancash	2021.77804649833
2021.90132649833	Lima	Ancash	2021.88115649833
2021.90955649833	Cajamarca	Ancash	2021.90910649833
2021.91503649833	Cajamarca	Ancash	2021.90910649833
2021.84380649833	Cajamarca	Ancash	2021.80270649833
2021.80270649843	Cajamarca	Ancash	2021.80270649833
2021.83558649843	Cajamarca	Ancash	2021.83558649833
2021.86571649833	Cajamarca	Ancash	2021.83963649833
2021.89311649833	Cajamarca	Ancash	2021.84013649833
2021.85475649843	Cajamarca	Lima	2021.85189649843
2021.85475649843	Cajamarca	Lima	2021.85189649843
2021.85201649833	Cajamarca	Ancash	2021.85189649833
2021.84106649843	Cajamarca	Ica	2021.84106649833
2021.87668649833	Cajamarca	Lima	2021.85483649833
2021.90408649843	Cajamarca	Callao	2021.90408649833
2021.91230649833	Cajamarca	Callao	2021.90408649833
2021.64105649843	Cajamarca	Callao	2021.64105649833
2021.66570649833	Cajamarca	Lima	2021.65820649833
2021.70954649833	Cajamarca	Lima	2021.66431649833
2021.72324649843	Cajamarca	Ica	2021.71776649843
2021.71776649853	Cajamarca	Ica	2021.71776649843
2021.71776649843	Cajamarca	Ica	2021.71776649833
2021.68214649833	Cajamarca	Ica	2021.66526649833
2021.66570649843	Cajamarca	Ica	2021.66570649833
2021.67118649843	Cajamarca	Ica	2021.67118649833
2021.70132649833	Cajamarca	Ica	2021.67894649833
2021.67940649843	Cajamarca	Ica	2021.67940649833
2021.68762649843	Cajamarca	Ica	2021.68762649833
2021.70405649843	Cajamarca	Lima	2021.70405649833
2021.72597649833	Cajamarca	Ica	2021.71847649833
2021.73693649833	Cajamarca	Ica	2021.72003649833
2021.72049649843	Cajamarca	Ica	2021.72049649833
2021.73693649843	Cajamarca	Ica	2021.73693649833
2021.74241649843	Cajamarca	Lima	2021.74241649833
2021.75885649833	Cajamarca	Lima	2021.74241649833
2021.71227649843	Cajamarca	Ica	2021.71227649833
2021.75885649843	Cajamarca	Ica	2021.75885649833
2021.91501649833	La Libertad	Ica	2021.85474649833
2021.86022649843	La Libertad	Ica	2021.85474649843
2021.85474649853	La Libertad	Ica	2021.85474649843
2021.83830649843	La Libertad	Ica	2021.83830649833
2021.93967649833	Tacna	Ica	2021.83830649833
2021.81364649843	La Libertad	Ica	2021.81364649833
2021.82460649843	La Libertad	Ica	2021.82460649833
2021.91501649833	La Libertad	Ica	2021.90743649833
2021.95337649833	Cajamarca	Ica	2021.93825649833
2021.95337649833	Cajamarca	Ica	2021.93825649833
2021.61092649843	La Libertad	Lima	2021.61092649833
2021.63009649833	La Libertad	Lima	2021.62259649833
2021.65476649833	La Libertad	Lima	2021.64469649833
2021.66571649833	Callao	Lima	2021.66280649833
2021.73694649843	Lima	La Libertad	2021.70668649843
2021.84927649843	Ayacucho	Lima	2021.77483649843
2021.79173649843	Ayacucho	Lima	2021.77529649843
2021.77529649853	Ayacucho	Lima	2021.77529649843
2021.66846649833	La Libertad	Lima	2021.64563649833
2021.67394649833	La Libertad	Lima	2021.64609649833
2021.64654649843	Piura	La Libertad	2021.64654649833
2021.65202649843	La Libertad	Cajamarca	2021.65202649833
2021.68216649833	La Libertad	Cajamarca	2021.66528649833
2021.66572649843	Piura	Cajamarca	2021.66572649833
2021.66846649843	Piura	Cajamarca	2021.66846649833
2021.69312649833	Callao	Cajamarca	2021.68544649833
2021.69860649843	Lima	Cajamarca	2021.69860649833
2021.70408649843	Callao	Cajamarca	2021.70408649833
2021.73696649833	Callao	Cajamarca	2021.72831649833
2021.78354649833	La Libertad	Cajamarca	2021.75833649833
2021.90408649833	Loreto	Cajamarca	2021.75833649833
2021.67942649843	La Libertad	Cajamarca	2021.67942649833
2021.70408649843	La Libertad	Cajamarca	2021.69657649843
2021.70408649853	La Libertad	Cajamarca	2021.70408649843
2021.74244649843	La Libertad	Cajamarca	2021.72731649843
2021.76161649843	La Libertad	Cajamarca	2021.75291649843
2021.82737649853	La Libertad	Cajamarca	2021.82737649843
2021.84107649843	La Libertad	Cajamarca	2021.82737649843
2021.69312649843	La Libertad	Cajamarca	2021.68613649843
2021.73695649843	La Libertad	Cajamarca	2021.72945649843
2021.75887649843	La Libertad	Cajamarca	2021.75132649843
2021.75887649853	La Libertad	Cajamarca	2021.75887649843
2021.79722649853	La Libertad	Cajamarca	2021.79722649843
